stock,date,price
AMZN,2002-03-20,0.725
AMZN,2002-03-21,0.759
AMZN,2002-03-22,0.777
AMZN,2002-03-25,0.737
AMZN,2002-03-26,0.742
AMZN,2002-03-27,0.713
AMZN,2002-03-28,0.715
AMZN,2002-04-01,0.74
AMZN,2002-04-02,0.713
AMZN,2002-04-03,0.684
AMZN,2002-04-04,0.677
AMZN,2002-04-05,0.675
AMZN,2002-04-08,0.698
AMZN,2002-04-09,0.68
AMZN,2002-04-10,0.674
AMZN,2002-04-11,0.637
AMZN,2002-04-12,0.666
AMZN,2002-04-15,0.695
AMZN,2002-04-16,0.701
AMZN,2002-04-17,0.741
AMZN,2002-04-18,0.713
AMZN,2002-04-19,0.726
AMZN,2002-04-22,0.716
AMZN,2002-04-23,0.703
AMZN,2002-04-24,0.839
AMZN,2002-04-25,0.841
AMZN,2002-04-26,0.846
AMZN,2002-04-29,0.809
AMZN,2002-04-30,0.835
AMZN,2002-05-01,0.824
AMZN,2002-05-02,0.816
AMZN,2002-05-03,0.803
AMZN,2002-05-06,0.806
AMZN,2002-05-07,0.806
AMZN,2002-05-08,0.866
AMZN,2002-05-09,0.887
AMZN,2002-05-10,0.847
AMZN,2002-05-13,0.866
AMZN,2002-05-14,0.94
AMZN,2002-05-15,0.997
AMZN,2002-05-16,0.98
AMZN,2002-05-17,0.958
AMZN,2002-05-20,0.97
AMZN,2002-05-21,0.938
AMZN,2002-05-22,0.938
AMZN,2002-05-23,0.972
AMZN,2002-05-24,0.973
AMZN,2002-05-28,0.953
AMZN,2002-05-29,0.946
AMZN,2002-05-30,0.919
AMZN,2002-05-31,0.912
AMZN,2002-06-03,0.898
AMZN,2002-06-04,0.899
AMZN,2002-06-05,0.9
AMZN,2002-06-06,0.909
AMZN,2002-06-07,0.929
AMZN,2002-06-10,0.865
AMZN,2002-06-11,0.857
AMZN,2002-06-12,0.854
AMZN,2002-06-13,0.871
AMZN,2002-06-14,0.841
AMZN,2002-06-17,0.921
AMZN,2002-06-18,0.939
AMZN,2002-06-19,0.915
AMZN,2002-06-20,0.878
AMZN,2002-06-21,0.877
AMZN,2002-06-24,0.876
AMZN,2002-06-25,0.767
AMZN,2002-06-26,0.793
AMZN,2002-06-27,0.793
AMZN,2002-06-28,0.813
AMZN,2002-07-01,0.678
AMZN,2002-07-02,0.666
AMZN,2002-07-03,0.713
AMZN,2002-07-05,0.761
AMZN,2002-07-08,0.747
AMZN,2002-07-09,0.78
AMZN,2002-07-10,0.748
AMZN,2002-07-11,0.778
AMZN,2002-07-12,0.772
AMZN,2002-07-15,0.797
AMZN,2002-07-16,0.815
AMZN,2002-07-17,0.808
AMZN,2002-07-18,0.778
AMZN,2002-07-19,0.765
AMZN,2002-07-22,0.775
AMZN,2002-07-23,0.728
AMZN,2002-07-24,0.705
AMZN,2002-07-25,0.625
AMZN,2002-07-26,0.647
AMZN,2002-07-29,0.717
AMZN,2002-07-30,0.738
AMZN,2002-07-31,0.723
AMZN,2002-08-01,0.708
AMZN,2002-08-02,0.692
